,Chain ID,resName1
0,A,ZN
1,A,ZN
2,A,ZN
3,A,CU
4,A,CU
5,A,CU
6,A,ZN
7,A,ZN
8,A,ZN
9,A,ZN
10,A,ZN
11,A,ZN
12,E,ZN
13,A,ZN
14,A,ZN
15,A,ZN
16,A,ZN
17,A,ZN
18,A,ZN
19,C,ZN
20,A,ZN
21,A,ZN
22,A,ZN
23,A,ZN
25,A,CU
26,A,ZN
27,A,ZN
28,A,ZN
29,A,ZN
30,A,ZN
31,B,ZN
32,A,ZN
33,A,ZN
34,A,ZN
35,A,ZN
36,B,ZN
37,A,ZN
38,A,ZN
39,A,ZN
40,A,ZN
41,A,CU
42,A,CU
43,A,ZN
44,A,FE
45,A,ZN
46,A,ZN
47,A,MG
48,B,ZN
49,A,ZN
50,A,ZN
51,A,FE
52,A,MN
53,A,MN
54,A,MN
55,A,MN
56,A,ZN
57,A,MG
58,A,MG
59,A,MG
60,A,MG
61,A,MG
62,A,MG
63,A,MG
64,A,MG
65,C,MG
66,A,ZN
67,A,ZN
68,A,ZN
69,A,CU
70,A,CU
71,A,CU
72,A,CU
73,A,ZN
74,A,MG
75,A,ZN
76,C,ZN
77,A,CU
78,A,FE2
79,A,ZN
80,A,ZN
81,A,ZN
82,A,ZN
83,A,MN
84,A,ZN
85,A,MN
86,A,MN
87,A,ZN
88,A,ZN
90,A,ZN
91,A,MG
92,A,MG
93,A,MG
94,A,MG
95,A,MN
96,A,MG
97,D,MG
98,B,MN
99,A,ZN
100,A,ZN
101,A,ZN
102,A,ZN
103,A,ZN
104,A,ZN
105,A,CU
106,A,CU
107,A,CU
108,A,ZN
109,A,MG
110,A,MG
111,A,NI
112,A,MN
113,A,ZN
114,A,ZN
115,A,MN
116,A,ZN
117,A,ZN
118,A,NI
119,A,NI
120,A,MG
121,A,MN
122,A,MG
123,A,MG
124,A,MG
125,A,MG
126,A,MG
127,A,FE
128,C,NI
129,A,MN
130,A,MN
131,A,MG
132,A,MG
133,A,MN
134,A,MN
135,A,MG
136,A,MN
137,A,MG
138,A,MN
139,A,MG
140,A,ZN
141,A,ZN
142,A,ZN
143,A,ZN
144,A,ZN
145,A,ZN
146,A,MG
147,A,MG
148,A,MG
149,A,ZN
150,B,MG
151,A,ZN
152,A,MG
153,A,CU
154,A,MG
155,A,MG
156,A,ZN
157,A,ZN
158,A,MG
159,A,ZN
160,A,ZN
161,A,MG
162,A,ZN
163,A,MG
164,A,MG
165,A,ZN
166,A,FE
167,C,FE
168,A,MG
169,A,CU
170,A,MN
171,A,MG
172,A,MG
173,A,CU
174,A,ZN
175,A,ZN
176,A,FE
177,A,MG
178,A,MG
179,A,MG
181,A,ZN
182,A,MG
183,A,MG
184,A,FE
185,A,MG
186,A,MG
187,A,ZN
188,A,MG
189,A,MG
190,B,ZN
192,A,ZN
193,A,MG
194,A,MG
195,A,ZN
196,A,ZN
197,A,MG
198,A,MG
199,A,ZN
200,A,MG
201,A,MN
202,A,ZN
203,A,ZN
204,A,MG
205,A,MG
206,A,MG
207,A,CU
208,A,CU
211,A,ZN
212,A,ZN
213,A,ZN
214,A,MG
218,A,ZN
219,A,ZN
220,A,ZN
221,A,ZN
222,A,ZN
224,A,MG
225,A,MG
226,A,ZN
227,A,ZN
228,A,ZN
229,C,CU1
230,A,FE
231,A,FE
233,A,ZN
234,A,MG
236,A,ZN
237,A,MG
238,A,ZN
239,A,ZN
240,A,ZN
241,A,ZN
242,A,MG
243,A,MN
244,A,ZN
245,A,FES
246,A,FES
251,A,ZN
252,A,ZN
254,A,ZN
257,A,ZN
258,A,ZN
260,A,ZN
261,A,ZN
263,A,ZN
264,A,ZN
265,A,ZN
266,A,ZN
267,A,ZN
271,A,ZN
273,A,ZN
274,A,MG
275,A,MG
276,A,NI
277,A,ZN
279,A,ZN
280,A,CU
281,A,FE2
282,A,ZN
283,A,MG
284,A,CO
285,B,ZN
286,B,ZN
287,B,ZN
288,A,ZN
289,A,ZN
290,A,ZN
291,B,MG
292,B,MG
293,B,ZN
296,A,MG
298,A,MG
299,A,ZN
302,A,MG
303,A,NI
304,A,ZN
305,B,MG
306,A,ZN
307,A,FE2
308,A,MN
309,A,MN
314,G,ZN
315,A,CO
318,A,ZN
319,B,ZN
322,A,ZN
323,A,MG
324,A,ZN
326,A,CU
327,2,ZN
328,A,MG
329,A,NI
330,A,CO
331,A,CO
332,B,MG
334,A,CO
335,A,ZN
336,A,ZN
337,A,ZN
339,A,ZN
340,A,ZN
341,A,ZN
342,A,ZN
344,A,ZN
345,A,ZN
346,A,ZN
347,A,ZN
348,A,ZN
349,A,ZN
